experiment,scenario,strategy,variant,param,value,n_seeds,asr_final_mean,asr_post_mean_mean,false_retrieval_rate_mean,answer_flip_rate_mean,propagation_final_mean,propagation_peak_mean,exposure_final_mean,clean_accuracy_final_mean,clean_accuracy_mean_mean,clean_unknown_final_mean,target_accuracy_final_mean,fp_reject_rate_mean,fn_accept_rate_mean,fn_accept_injected_mean,recovery_rounds_mean,recovered_mean,context_tokens_per_query_mean,scored_per_query_mean,verifier_lookups_mean,messages_mean,asr_final_sd,asr_post_mean_sd,false_retrieval_rate_sd,answer_flip_rate_sd,propagation_final_sd,propagation_peak_sd,exposure_final_sd,clean_accuracy_final_sd,clean_accuracy_mean_sd,clean_unknown_final_sd,target_accuracy_final_sd,fp_reject_rate_sd,fn_accept_rate_sd,fn_accept_injected_sd,recovery_rounds_sd,recovered_sd,context_tokens_per_query_sd,scored_per_query_sd,verifier_lookups_sd,messages_sd
agreement,forged_meta,verified,honest3_faulty3,honest_sources,3,8,0.3,0.295833,0.500521,0.279687,0.420833,0.420833,0.925,0.975,0.971875,0.025,0.695833,0.000251509,0.719619,0.707486,8,0,54.6943,12,255.75,156,0.168089,0.110621,0.135793,0.100826,0.165172,0.165172,0.038832,0.0267261,0.0270719,0.0267261,0.170375,0.000711374,0.143073,0.153982,0,0,0.41823,0,44.7716,0
k,none,naive,default,k,1,8,0.0416668,0.0526042,0.0526042,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,17.4162,1,0,150,0.0771518,0.0838655,0.0838655,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.159961,0,0,0
k,none,naive,default,k,3,8,0.0416668,0.0526042,0.11875,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,36.6927,3,0,150,0.0771518,0.0838655,0.141351,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.391992,0,0,0
k,none,naive,default,k,5,8,0.0416668,0.0526042,0.11875,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,55.9438,5,0,150,0.0771518,0.0838655,0.141351,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.510425,0,0,0
k,none,naive,default,k,8,8,0.0416668,0.0526042,0.11875,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,84.9663,8,0,150,0.0771518,0.0838655,0.141351,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.834358,0,0,0
k,none,provenance,default,k,1,8,0.0416668,0.0526042,0.0526042,0.0046875,,,,0.934375,0.932292,0.040625,0.95,0,1,,,1,22.4162,4,0,150,0.0771518,0.0838655,0.0838655,0.0116661,,,,0.0718847,0.0699259,0.0625892,0.0734633,0,0,,,0,0.159961,0,0,0
k,none,provenance,default,k,3,8,0.0708333,0.08125,0.11875,0.0333334,,,,0.9375,0.934375,0.040625,0.920834,0,1,,,1,51.6927,12,0,150,0.114694,0.118606,0.141351,0.0565195,,,,0.0681385,0.0673237,0.0625892,0.109744,0,0,,,0,0.391992,0,0,0
k,none,provenance,default,k,5,8,0.0708333,0.08125,0.11875,0.0333334,,,,0.9375,0.934375,0.040625,0.920834,0,1,,,1,80.9437,20,0,150,0.114694,0.118606,0.141351,0.0565195,,,,0.0681385,0.0673237,0.0625892,0.109744,0,0,,,0,0.510425,0,0,0
k,none,provenance,default,k,8,8,0.0708333,0.08125,0.11875,0.0333334,,,,0.9375,0.934375,0.040625,0.920834,0,1,,,1,124.966,31.86,0,150,0.114694,0.118606,0.141351,0.0565195,,,,0.0681385,0.0673237,0.0625892,0.109744,0,0,,,0,0.834302,0.103095,0,0
k,none,verified,default,k,1,8,0.0208334,0.028125,0.028125,0.000520834,,,,0.946875,0.944792,0.040625,0.958333,0,0.782089,,,1,23.4162,4,175.25,150,0.0589257,0.049938,0.049938,0.00147314,,,,0.0632985,0.063455,0.0625892,0.0684291,0,0.333336,,,0,0.159961,0,30.2926,0
